Timestamp,Breathing Rate
1718923014,46.490478515625
1718923029,28.9764404296875
1718923044,14.8956298828125
1718923059,37.921142578125
1718923074,33.673095703125
1718923089,33.0413818359375
1718923104,33.4625244140625
1718923119,34.8724365234375
1718923134,27.337646484375
1718923149,33.4808349609375
1718923164,36.090087890625
1718923179,40.9332275390625
1718923194,32.40966796875
1718923209,43.2586669921875
1718923224,25.1220703125
1718923239,21.09375
1718923254,20.0592041015625
1718923270,31.036376953125
1718923284,17.4957275390625
