Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 20:27:23:597,77,0,1,2,56381,92818,63321,-67,-232,975
05.10.2024 20:27:23:601,78,0,1,2,56384,92818,63320,-73,-229,972
05.10.2024 20:27:23:605,79,0,1,2,56388,92818,63316,-66,-231,974
05.10.2024 20:27:23:609,80,0,1,2,56388,92816,63319,-65,-228,970
05.10.2024 20:27:23:613,81,0,1,2,56389,92811,63318,-70,-228,969
05.10.2024 20:27:23:617,82,0,1,2,56395,92809,63317,-66,-230,963
05.10.2024 20:27:23:620,83,0,1,2,56393,92806,63312,-65,-224,970
05.10.2024 20:27:23:624,84,0,1,2,56396,92806,63313,-69,-229,972
05.10.2024 20:27:23:628,85,0,1,2,56401,92804,63314,-69,-224,966
05.10.2024 20:27:23:632,86,0,1,2,56405,92800,63309,-64,-226,969
05.10.2024 20:27:23:636,87,0,1,2,56403,92796,63304,-63,-226,968
05.10.2024 20:27:23:640,88,0,1,2,56409,92792,63306,-65,-227,973
05.10.2024 20:27:23:644,89,0,1,2,56401,92788,63303,-69,-228,969
05.10.2024 20:27:23:648,90,0,1,2,56407,92783,63297,-67,-233,975
05.10.2024 20:27:23:652,91,0,1,2,56401,92786,63296,-69,-231,970
05.10.2024 20:27:23:656,92,0,1,2,56396,92776,63296,-64,-236,972
05.10.2024 20:27:23:659,93,0,1,2,56402,92771,63290,-68,-232,972
05.10.2024 20:27:23:663,94,0,1,2,56394,92769,63285,-68,-238,969
05.10.2024 20:27:23:667,95,0,1,2,56393,92763,63286,-69,-236,968
05.10.2024 20:27:23:671,96,0,1,2,56382,92754,63282,-66,-236,968
05.10.2024 20:27:23:675,97,0,1,2,56380,92756,63286,-70,-235,961
05.10.2024 20:27:23:679,98,0,1,2,56370,92756,63286,-66,-231,972
05.10.2024 20:27:23:683,99,0,1,2,56359,92753,63287,-72,-235,968
05.10.2024 20:27:23:687,100,0,1,2,56351,92751,63286,-63,-234,970
05.10.2024 20:27:23:691,101,0,1,2,56339,92748,63283,-65,-229,971
05.10.2024 20:27:23:695,102,0,1,2,56329,92750,63283,-69,-236,969
05.10.2024 20:27:23:698,103,0,1,2,56319,92742,63285,-67,-228,966
05.10.2024 20:27:23:702,104,0,1,2,56312,92745,63285,-70,-235,970
05.10.2024 20:27:23:706,105,0,1,2,56301,92744,63283,-71,-231,966
05.10.2024 20:27:23:710,106,0,1,2,56295,92746,63286,-66,-228,969
05.10.2024 20:27:23:714,107,0,1,2,56286,92737,63289,-65,-227,972
05.10.2024 20:27:23:718,108,0,1,2,56274,92738,63287,-67,-223,970
05.10.2024 20:27:23:722,109,0,1,2,56269,92736,63290,-69,-226,966
05.10.2024 20:27:23:726,110,0,1,2,56267,92732,63287,-66,-229,966
05.10.2024 20:27:23:730,111,0,1,2,56252,92726,63288,-65,-230,972
05.10.2024 20:27:23:734,112,0,1,2,56245,92730,63287,-65,-232,969
05.10.2024 20:27:23:737,113,0,1,2,56237,92728,63287,-70,-227,969
05.10.2024 20:27:23:741,114,0,1,2,56231,92719,63289,-67,-227,973
05.10.2024 20:27:23:745,115,0,1,2,56227,92725,63285,-70,-227,971
05.10.2024 20:27:23:749,116,0,1,2,56225,92719,63286,-66,-222,966
05.10.2024 20:27:23:753,117,0,1,2,56226,92715,63283,-68,-229,970
05.10.2024 20:27:23:757,118,0,1,2,56221,92718,63284,-68,-227,966
05.10.2024 20:27:23:761,119,0,1,2,56221,92715,63284,-70,-228,966
05.10.2024 20:27:23:765,120,0,1,2,56214,92707,63284,-67,-221,969
05.10.2024 20:27:23:769,121,0,1,2,56220,92707,63284,-68,-230,969
05.10.2024 20:27:23:773,122,0,1,2,56209,92707,63285,-67,-225,973
05.10.2024 20:27:23:777,123,0,1,2,56211,92707,63286,-68,-226,965
05.10.2024 20:27:23:780,124,0,1,2,56210,92703,63280,-64,-230,964
05.10.2024 20:27:23:784,125,0,1,2,56214,92706,63285,-68,-228,969
05.10.2024 20:27:23:788,126,0,1,2,56211,92701,63280,-64,-230,975
05.10.2024 20:27:23:792,127,0,1,2,56213,92697,63280,-67,-226,970
05.10.2024 20:27:23:796,128,0,1,2,56213,92698,63280,-68,-227,968
05.10.2024 20:27:23:800,129,0,1,2,56218,92697,63278,-67,-230,972
05.10.2024 20:27:23:804,130,0,1,2,56226,92691,63276,-71,-230,964
05.10.2024 20:27:23:808,131,0,1,2,56225,92694,63279,-73,-232,969
05.10.2024 20:27:23:812,132,0,1,2,56222,92690,63277,-68,-233,963
05.10.2024 20:27:23:816,133,0,1,2,56224,92691,63279,-71,-234,971
05.10.2024 20:27:23:819,134,0,1,2,56232,92687,63279,-71,-232,969
05.10.2024 20:27:23:823,135,0,1,2,56231,92686,63277,-65,-233,968
05.10.2024 20:27:23:827,136,0,1,2,56231,92686,63274,-70,-231,966
05.10.2024 20:27:23:831,137,0,1,2,56235,92684,63276,-69,-229,967
05.10.2024 20:27:23:835,138,0,1,2,56243,92688,63279,-68,-232,971
05.10.2024 20:27:23:839,139,0,1,2,56240,92684,63275,-67,-236,967
05.10.2024 20:27:23:843,140,0,1,2,56235,92687,63276,-70,-232,965
05.10.2024 20:27:23:847,141,0,1,2,56234,92685,63279,-67,-235,968
05.10.2024 20:27:23:851,142,0,1,2,56243,92683,63276,-67,-225,973
05.10.2024 20:27:23:855,143,0,1,2,56240,92684,63281,-68,-234,966
05.10.2024 20:27:23:858,144,0,1,2,56240,92691,63280,-65,-226,972
05.10.2024 20:27:23:862,145,0,1,2,56243,92688,63282,-63,-228,966
05.10.2024 20:27:23:866,146,0,1,2,56246,92691,63284,-67,-229,968
05.10.2024 20:27:23:870,147,0,1,2,56251,92693,63288,-65,-235,974
05.10.2024 20:27:23:874,148,0,1,2,56249,92689,63286,-69,-228,970
05.10.2024 20:27:23:878,149,0,1,2,56251,92686,63287,-70,-229,969
05.10.2024 20:27:23:882,150,0,1,2,56258,92691,63290,-70,-218,971
05.10.2024 20:27:23:886,151,0,1,2,56252,92691,63288,-68,-221,976
05.10.2024 20:27:23:890,152,0,1,2,56244,92688,63284,-67,-225,969
05.10.2024 20:27:23:894,153,0,1,2,56255,92686,63286,-75,-229,968
05.10.2024 20:27:23:897,154,0,1,2,56259,92686,63285,-68,-227,965
05.10.2024 20:27:23:901,155,0,1,2,56257,92682,63285,-68,-227,965
05.10.2024 20:27:23:905,156,0,1,2,56257,92683,63285,-69,-228,968
05.10.2024 20:27:23:909,157,0,1,2,56258,92683,63284,-69,-226,973
05.10.2024 20:27:23:913,158,0,1,2,56258,92678,63279,-71,-223,964
05.10.2024 20:27:23:917,159,0,1,2,56252,92678,63280,-72,-226,969
05.10.2024 20:27:23:921,160,0,1,2,56257,92675,63276,-73,-228,970
05.10.2024 20:27:23:925,161,0,1,2,56251,92673,63275,-71,-232,969
05.10.2024 20:27:23:929,162,0,1,2,56254,92672,63276,-68,-229,974
05.10.2024 20:27:23:933,163,0,1,2,56246,92670,63276,-66,-226,966
05.10.2024 20:27:23:937,164,0,1,2,56250,92662,63274,-74,-225,970
05.10.2024 20:27:23:940,165,0,1,2,56247,92659,63271,-71,-227,965
05.10.2024 20:27:23:944,166,0,1,2,56246,92659,63269,-69,-231,971
