Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 20:30:06:964,77,0,1,2,62317,101729,65343,-46,-491,864
05.10.2024 20:30:06:968,78,0,1,2,62303,101671,65313,-47,-494,868
05.10.2024 20:30:06:972,79,0,1,2,62267,101620,65288,-51,-504,863
05.10.2024 20:30:06:976,80,0,1,2,62230,101564,65260,-50,-509,872
05.10.2024 20:30:06:980,81,0,1,2,62200,101510,65231,-48,-516,872
05.10.2024 20:30:06:984,82,0,1,2,62170,101467,65212,-48,-525,872
05.10.2024 20:30:06:987,83,0,1,2,62144,101413,65198,-49,-535,868
05.10.2024 20:30:06:991,84,0,1,2,62116,101376,65181,-46,-542,856
05.10.2024 20:30:06:995,85,0,1,2,62092,101333,65165,-55,-537,843
05.10.2024 20:30:06:999,86,0,1,2,62075,101288,65146,-55,-535,839
05.10.2024 20:30:07:3,87,0,1,2,62049,101235,65122,-69,-527,813
05.10.2024 20:30:07:7,88,0,1,2,62033,101191,65096,-84,-516,807
05.10.2024 20:30:07:11,89,0,1,2,62011,101135,65067,-79,-512,804
05.10.2024 20:30:07:15,90,0,1,2,61997,101066,65028,-85,-515,810
05.10.2024 20:30:07:19,91,0,1,2,61982,101008,64989,-80,-521,810
05.10.2024 20:30:07:23,92,0,1,2,61961,100937,64945,-81,-526,822
05.10.2024 20:30:07:26,93,0,1,2,61948,100869,64901,-72,-540,830
05.10.2024 20:30:07:30,94,0,1,2,61929,100806,64857,-73,-546,835
05.10.2024 20:30:07:34,95,0,1,2,61911,100738,64813,-67,-545,853
05.10.2024 20:30:07:38,96,0,1,2,61899,100670,64770,-63,-548,851
05.10.2024 20:30:07:42,97,0,1,2,61887,100610,64723,-70,-542,823
05.10.2024 20:30:07:46,98,0,1,2,61864,100555,64689,-85,-489,813
05.10.2024 20:30:07:50,99,0,1,2,61850,100499,64645,-96,-461,811
05.10.2024 20:30:07:54,100,0,1,2,61830,100438,64605,-101,-434,803
05.10.2024 20:30:07:58,101,0,1,2,61804,100375,64564,-103,-439,788
05.10.2024 20:30:07:62,102,0,1,2,61782,100328,64526,-94,-464,846
05.10.2024 20:30:07:66,103,0,1,2,61770,100273,64489,-84,-488,883
