Timestamp,Breathing Rate
1718923014,21.7529296875
1718923029,16.1224365234375
1718923044,17.1478271484375
1718923059,19.207763671875
1718923074,20.086669921875
1718923089,15.1702880859375
1718923104,29.205322265625
1718923119,22.7508544921875
1718923134,18.072509765625
1718923149,24.407958984375
1718923164,18.71337890625
1718923179,17.962646484375
1718923194,22.55859375
1718923209,19.1986083984375
1718923224,18.1915283203125
1718923240,17.5048828125
1718923255,24.57275390625
1718923270,16.241455078125
1718923285,20.892333984375
