Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 13:28:14:822,14805,2,0,1,129350,102289,139233,27,-993,203
05.10.2024 13:28:14:826,14806,2,0,1,129354,102300,139227,27,-992,198
05.10.2024 13:28:14:830,14807,2,0,1,129351,102297,139235,25,-992,202
05.10.2024 13:28:14:834,14808,2,0,1,129356,102293,139224,25,-989,203
05.10.2024 13:28:14:838,14809,2,0,1,129352,102291,139227,24,-991,202
05.10.2024 13:28:14:842,14810,2,0,1,129354,102288,139226,26,-991,202
05.10.2024 13:28:14:846,14811,2,0,1,129351,102287,139223,24,-992,202
05.10.2024 13:28:14:850,14812,2,0,1,129353,102283,139218,29,-992,200
05.10.2024 13:28:14:853,14813,2,0,1,129351,102279,139223,28,-994,202
05.10.2024 13:28:14:857,14814,2,0,1,129352,102288,139230,28,-994,202
05.10.2024 13:28:14:861,14815,2,0,1,129355,102284,139224,27,-992,200
05.10.2024 13:28:14:865,14816,2,0,1,129356,102291,139231,27,-993,203
05.10.2024 13:28:14:869,14817,2,0,1,129354,102280,139223,31,-993,206
05.10.2024 13:28:14:873,14818,2,0,1,129352,102289,139231,30,-993,203
05.10.2024 13:28:14:877,14819,2,0,1,129358,102285,139219,26,-993,203
05.10.2024 13:28:14:881,14820,2,0,1,129352,102285,139228,28,-996,203
05.10.2024 13:28:14:885,14821,2,0,1,129355,102277,139227,30,-993,203
05.10.2024 13:28:14:889,14822,2,0,1,129355,102279,139228,29,-996,204
05.10.2024 13:28:14:892,14823,2,0,1,129353,102282,139232,24,-998,203
05.10.2024 13:28:14:896,14824,2,0,1,129359,102286,139234,31,-998,199
05.10.2024 13:28:14:900,14825,2,0,1,129357,102282,139230,25,-997,202
05.10.2024 13:28:14:904,14826,2,0,1,129356,102278,139227,30,-994,199
05.10.2024 13:28:14:908,14827,2,0,1,129354,102286,139226,29,-996,206
05.10.2024 13:28:14:912,14828,2,0,1,129356,102282,139234,26,-997,205
05.10.2024 13:28:14:916,14829,2,0,1,129354,102274,139233,25,-996,203
05.10.2024 13:28:14:920,14830,2,0,1,129355,102284,139234,28,-992,204
05.10.2024 13:28:14:924,14831,2,0,1,129358,102286,139233,25,-996,203
05.10.2024 13:28:14:928,14832,2,0,1,129360,102286,139229,24,-995,199
05.10.2024 13:28:14:931,14833,2,0,1,129355,102286,139232,28,-997,201
05.10.2024 13:28:14:935,14834,2,0,1,129356,102282,139234,27,-995,205
05.10.2024 13:28:14:939,14835,2,0,1,129360,102286,139234,22,-996,201
05.10.2024 13:28:14:943,14836,2,0,1,129360,102296,139239,27,-998,203
05.10.2024 13:28:14:947,14837,2,0,1,129355,102300,139243,24,-993,199
05.10.2024 13:28:14:951,14838,2,0,1,129357,102306,139246,25,-994,202
05.10.2024 13:28:14:955,14839,2,0,1,129356,102296,139243,25,-994,202
05.10.2024 13:28:14:959,14840,2,0,1,129360,102301,139239,25,-995,204
05.10.2024 13:28:14:963,14841,2,0,1,129356,102303,139242,26,-991,204
05.10.2024 13:28:14:967,14842,2,0,1,129365,102310,139246,26,-994,203
05.10.2024 13:28:14:970,14843,2,0,1,129364,102308,139246,30,-993,202
05.10.2024 13:28:14:974,14844,2,0,1,129364,102317,139253,27,-990,200
05.10.2024 13:28:14:978,14845,2,0,1,129363,102309,139249,29,-989,203
05.10.2024 13:28:14:982,14846,2,0,1,129364,102317,139248,26,-995,200
05.10.2024 13:28:14:986,14847,2,0,1,129365,102320,139252,26,-993,203
05.10.2024 13:28:14:990,14848,2,0,1,129364,102322,139255,27,-997,205
05.10.2024 13:28:14:994,14849,2,0,1,129368,102332,139256,25,-990,199
05.10.2024 13:28:14:998,14850,2,0,1,129366,102330,139253,29,-995,203
05.10.2024 13:28:15:2,14851,2,0,1,129368,102335,139257,31,-998,201
05.10.2024 13:28:15:6,14852,2,0,1,129368,102334,139253,24,-994,202
05.10.2024 13:28:15:9,14853,2,0,1,129369,102342,139255,23,-993,204
05.10.2024 13:28:15:13,14854,2,0,1,129369,102346,139248,25,-991,201
05.10.2024 13:28:15:17,14855,2,0,1,129373,102351,139255,29,-996,197
05.10.2024 13:28:15:21,14856,2,0,1,129371,102357,139256,23,-994,198
05.10.2024 13:28:15:25,14857,2,0,1,129365,102366,139265,28,-991,199
05.10.2024 13:28:15:29,14858,2,0,1,129370,102360,139260,26,-991,201
05.10.2024 13:28:15:33,14859,2,0,1,129375,102365,139263,24,-996,203
05.10.2024 13:28:15:37,14860,2,0,1,129373,102366,139259,24,-992,202
05.10.2024 13:28:15:41,14861,2,0,1,129375,102373,139258,28,-996,202
05.10.2024 13:28:15:45,14862,2,0,1,129371,102376,139266,27,-995,203
05.10.2024 13:28:15:48,14863,2,0,1,129376,102375,139268,26,-993,204
05.10.2024 13:28:15:52,14864,2,0,1,129374,102378,139272,26,-993,204
05.10.2024 13:28:15:56,14865,2,0,1,129372,102376,139273,25,-993,203
05.10.2024 13:28:15:60,14866,2,0,1,129379,102381,139269,26,-999,207
05.10.2024 13:28:15:64,14867,2,0,1,129374,102391,139271,30,-994,203
05.10.2024 13:28:15:68,14868,2,0,1,129376,102397,139276,30,-995,201
05.10.2024 13:28:15:72,14869,2,0,1,129378,102397,139274,29,-992,199
05.10.2024 13:28:15:76,14870,2,0,1,129380,102402,139278,31,-998,203
05.10.2024 13:28:15:80,14871,2,0,1,129379,102403,139275,28,-995,205
05.10.2024 13:28:15:84,14872,2,0,1,129375,102412,139278,26,-992,203
05.10.2024 13:28:15:87,14873,2,0,1,129382,102414,139282,30,-990,203
05.10.2024 13:28:15:91,14874,2,0,1,129379,102428,139283,28,-998,202
05.10.2024 13:28:15:95,14875,2,0,1,129381,102423,139282,26,-991,204
05.10.2024 13:28:15:99,14876,2,0,1,129379,102425,139284,21,-994,202
05.10.2024 13:28:15:103,14877,2,0,1,129379,102432,139284,28,-996,202
05.10.2024 13:28:15:107,14878,2,0,1,129381,102432,139285,25,-991,199
05.10.2024 13:28:15:111,14879,2,0,1,129384,102434,139287,27,-997,205
05.10.2024 13:28:15:115,14880,2,0,1,129382,102439,139289,31,-993,201
05.10.2024 13:28:15:119,14881,2,0,1,129382,102446,139279,24,-994,204
05.10.2024 13:28:15:123,14882,2,0,1,129383,102439,139287,28,-993,203
05.10.2024 13:28:15:126,14883,2,0,1,129390,102442,139291,27,-990,201
05.10.2024 13:28:15:130,14884,2,0,1,129380,102444,139286,27,-995,202
05.10.2024 13:28:15:134,14885,2,0,1,129384,102448,139293,25,-997,203
05.10.2024 13:28:15:138,14886,2,0,1,129385,102447,139290,26,-991,203
05.10.2024 13:28:15:142,14887,2,0,1,129387,102461,139294,30,-995,206
05.10.2024 13:28:15:146,14888,2,0,1,129388,102460,139296,24,-989,205
05.10.2024 13:28:15:150,14889,2,0,1,129387,102465,139296,24,-989,205
05.10.2024 13:28:15:154,14890,2,0,1,129388,102464,139301,27,-991,206
05.10.2024 13:28:15:158,14891,2,0,1,129389,102461,139298,27,-994,202
05.10.2024 13:28:15:162,14892,2,0,1,129387,102478,139294,20,-998,203
05.10.2024 13:28:15:165,14893,2,0,1,129388,102474,139292,27,-992,203
05.10.2024 13:28:15:169,14894,2,0,1,129391,102487,139298,26,-988,203
05.10.2024 13:28:15:173,14895,2,0,1,129388,102485,139294,28,-993,201
05.10.2024 13:28:15:177,14896,2,0,1,129385,102494,139303,26,-993,202
05.10.2024 13:28:15:181,14897,2,0,1,129392,102488,139302,22,-993,201
05.10.2024 13:28:15:185,14898,2,0,1,129390,102503,139302,25,-992,203
05.10.2024 13:28:15:189,14899,2,0,1,129394,102501,139304,26,-998,203
05.10.2024 13:28:15:193,14900,2,0,1,129392,102502,139306,29,-990,203
05.10.2024 13:28:15:197,14901,2,0,1,129392,102510,139309,28,-994,203
05.10.2024 13:28:15:201,14902,2,0,1,129395,102506,139307,30,-990,200
05.10.2024 13:28:15:204,14903,2,0,1,129395,102511,139310,26,-994,203
05.10.2024 13:28:15:208,14904,2,0,1,129392,102516,139312,33,-995,203
05.10.2024 13:28:15:212,14905,2,0,1,129392,102523,139314,21,-995,203
05.10.2024 13:28:15:216,14906,2,0,1,129394,102532,139310,26,-997,202
05.10.2024 13:28:15:220,14907,2,0,1,129396,102532,139315,27,-998,200
05.10.2024 13:28:15:224,14908,2,0,1,129392,102534,139311,26,-996,202
05.10.2024 13:28:15:228,14909,2,0,1,129396,102529,139310,27,-998,202
05.10.2024 13:28:15:232,14910,2,0,1,129401,102544,139311,24,-995,201
05.10.2024 13:28:15:236,14911,2,0,1,129402,102539,139313,27,-994,199
05.10.2024 13:28:15:240,14912,2,0,1,129395,102542,139313,25,-994,203
05.10.2024 13:28:15:243,14913,2,0,1,129396,102556,139318,23,-997,200
05.10.2024 13:28:15:247,14914,2,0,1,129398,102552,139320,23,-997,200
05.10.2024 13:28:15:251,14915,2,0,1,129401,102548,139317,28,-993,205
05.10.2024 13:28:15:255,14916,2,0,1,129401,102550,139318,29,-990,202
05.10.2024 13:28:15:259,14917,2,0,1,129404,102558,139324,30,-991,203
05.10.2024 13:28:15:263,14918,2,0,1,129403,102560,139324,29,-991,202
05.10.2024 13:28:15:267,14919,2,0,1,129405,102566,139324,30,-990,199
05.10.2024 13:28:15:271,14920,2,0,1,129404,102580,139322,26,-988,199
05.10.2024 13:28:15:275,14921,2,0,1,129405,102575,139325,25,-992,201
05.10.2024 13:28:15:279,14922,2,0,1,129406,102570,139329,28,-991,197
05.10.2024 13:28:15:282,14923,2,0,1,129407,102579,139328,28,-990,201
05.10.2024 13:28:15:286,14924,2,0,1,129409,102584,139333,29,-992,200
05.10.2024 13:28:15:290,14925,2,0,1,129409,102589,139336,30,-991,206
05.10.2024 13:28:15:294,14926,2,0,1,129406,102603,139332,24,-993,203
05.10.2024 13:28:15:298,14927,2,0,1,129408,102611,139331,27,-993,203
05.10.2024 13:28:15:302,14928,2,0,1,129411,102595,139335,25,-992,200
05.10.2024 13:28:15:306,14929,2,0,1,129413,102607,139334,27,-994,201
05.10.2024 13:28:15:310,14930,2,0,1,129410,102601,139339,26,-996,203
05.10.2024 13:28:15:314,14931,2,0,1,129413,102620,139345,27,-996,203
05.10.2024 13:28:15:318,14932,2,0,1,129411,102621,139345,25,-994,205
05.10.2024 13:28:15:321,14933,2,0,1,129413,102624,139347,24,-996,202
05.10.2024 13:28:15:325,14934,2,0,1,129409,102629,139343,26,-996,201
05.10.2024 13:28:15:329,14935,2,0,1,129415,102635,139352,24,-998,201
05.10.2024 13:28:15:333,14936,2,0,1,129417,102633,139352,25,-1000,201
05.10.2024 13:28:15:337,14937,2,0,1,129419,102640,139355,27,-994,203
05.10.2024 13:28:15:341,14938,2,0,1,129419,102648,139355,28,-998,200
05.10.2024 13:28:15:345,14939,2,0,1,129420,102643,139356,28,-998,200
05.10.2024 13:28:15:349,14940,2,0,1,129423,102655,139354,26,-994,206
05.10.2024 13:28:15:353,14941,2,0,1,129421,102658,139356,26,-995,203
05.10.2024 13:28:15:357,14942,2,0,1,129418,102659,139356,29,-993,203
05.10.2024 13:28:15:360,14943,2,0,1,129421,102662,139361,25,-991,204
05.10.2024 13:28:15:364,14944,2,0,1,129426,102680,139362,30,-994,199
05.10.2024 13:28:15:368,14945,2,0,1,129420,102678,139362,28,-990,204
05.10.2024 13:28:15:372,14946,2,0,1,129423,102684,139366,30,-996,195
05.10.2024 13:28:15:376,14947,2,0,1,129430,102688,139363,29,-1000,202
05.10.2024 13:28:15:380,14948,2,0,1,129427,102705,139365,31,-992,200
05.10.2024 13:28:15:384,14949,2,0,1,129426,102690,139367,30,-992,203
05.10.2024 13:28:15:388,14950,2,0,1,129427,102702,139364,30,-992,206
05.10.2024 13:28:15:392,14951,2,0,1,129429,102706,139370,30,-993,195
05.10.2024 13:28:15:396,14952,2,0,1,129425,102713,139366,29,-993,197
05.10.2024 13:28:15:399,14953,2,0,1,129432,102712,139361,31,-998,200
05.10.2024 13:28:15:403,14954,2,0,1,129425,102713,139356,27,-992,203
05.10.2024 13:28:15:407,14955,2,0,1,129422,102707,139358,28,-995,203
05.10.2024 13:28:15:411,14956,2,0,1,129417,102712,139352,28,-990,203
05.10.2024 13:28:15:415,14957,2,0,1,129419,102713,139346,28,-996,206
05.10.2024 13:28:15:419,14958,2,0,1,129416,102701,139336,24,-990,203
05.10.2024 13:28:15:423,14959,2,0,1,129412,102700,139330,25,-994,201
05.10.2024 13:28:15:427,14960,2,0,1,129408,102692,139324,25,-993,202
05.10.2024 13:28:15:431,14961,2,0,1,129403,102680,139323,28,-993,205
05.10.2024 13:28:15:435,14962,2,0,1,129401,102675,139308,30,-995,203
