Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],Temperature[C]
12.10.2024 12:07:13:540,32.105
12.10.2024 12:07:13:637,32.1
12.10.2024 12:07:13:735,32.1
12.10.2024 12:07:13:832,32.11
12.10.2024 12:07:13:929,32.09
12.10.2024 12:07:14:27,32.11
12.10.2024 12:07:14:124,32.105
12.10.2024 12:07:14:221,32.105
12.10.2024 12:07:14:319,32.11
12.10.2024 12:07:14:416,32.11
12.10.2024 12:07:14:513,32.1
12.10.2024 12:07:14:611,32.1
12.10.2024 12:07:14:708,32.1
12.10.2024 12:07:14:805,32.11
12.10.2024 12:07:14:903,32.1
12.10.2024 12:07:15:0,32.1
12.10.2024 12:07:15:97,32.1
12.10.2024 12:07:15:195,32.115
12.10.2024 12:07:15:292,32.13
12.10.2024 12:07:15:389,32.11
12.10.2024 12:07:15:487,32.105
12.10.2024 12:07:15:584,32.1
12.10.2024 12:07:15:681,32.115
12.10.2024 12:07:15:779,32.115
12.10.2024 12:07:15:876,32.105
12.10.2024 12:07:15:973,32.105
12.10.2024 12:07:16:71,32.115
12.10.2024 12:07:16:168,32.115
12.10.2024 12:07:16:265,32.105
12.10.2024 12:07:16:363,32.115
12.10.2024 12:07:16:460,32.125
12.10.2024 12:07:16:557,32.12
12.10.2024 12:07:16:655,32.105
12.10.2024 12:07:16:752,32.11
12.10.2024 12:07:16:849,32.115
12.10.2024 12:07:16:947,32.115
12.10.2024 12:07:17:44,32.125
12.10.2024 12:07:17:141,32.11
12.10.2024 12:07:17:239,32.12
12.10.2024 12:07:17:336,32.1
12.10.2024 12:07:17:433,32.115
12.10.2024 12:07:17:530,32.105
12.10.2024 12:07:17:628,32.12
12.10.2024 12:07:17:725,32.115
12.10.2024 12:07:17:822,32.12
12.10.2024 12:07:17:920,32.125
12.10.2024 12:07:18:17,32.115
12.10.2024 12:07:18:114,32.105
12.10.2024 12:07:18:212,32.1
12.10.2024 12:07:18:309,32.11
12.10.2024 12:07:18:406,32.115
12.10.2024 12:07:18:504,32.13
12.10.2024 12:07:18:601,32.13
12.10.2024 12:07:18:698,32.125
12.10.2024 12:07:18:796,32.12
12.10.2024 12:07:18:893,32.12
12.10.2024 12:07:18:990,32.11
12.10.2024 12:07:19:88,32.115
12.10.2024 12:07:19:185,32.105
12.10.2024 12:07:19:282,32.115
12.10.2024 12:07:19:380,32.125
12.10.2024 12:07:19:477,32.12
12.10.2024 12:07:19:574,32.125
12.10.2024 12:07:19:672,32.12
12.10.2024 12:07:19:769,32.115
12.10.2024 12:07:19:866,32.12
12.10.2024 12:07:19:964,32.12
12.10.2024 12:07:20:61,32.125
12.10.2024 12:07:20:158,32.125
12.10.2024 12:07:20:256,32.125
12.10.2024 12:07:20:353,32.115
12.10.2024 12:07:20:450,32.13
12.10.2024 12:07:20:548,32.11
12.10.2024 12:07:20:645,32.12
12.10.2024 12:07:20:742,32.115
12.10.2024 12:07:20:840,32.13
12.10.2024 12:07:20:937,32.125
12.10.2024 12:07:21:34,32.125
12.10.2024 12:07:21:132,32.125
12.10.2024 12:07:21:229,32.115
12.10.2024 12:07:21:326,32.12
12.10.2024 12:07:21:424,32.11
12.10.2024 12:07:21:521,32.125
12.10.2024 12:07:21:618,32.13
12.10.2024 12:07:21:716,32.125
12.10.2024 12:07:21:813,32.125
12.10.2024 12:07:21:910,32.115
12.10.2024 12:07:22:8,32.135
12.10.2024 12:07:22:105,32.13
12.10.2024 12:07:22:202,32.14
12.10.2024 12:07:22:299,32.13
