MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x0a,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x00,0x6d,0x08,0x18,0x3f,0x50,0x08,0x14,0x00,
0x00,0x00,0x42,0x39,0x25,0x8f,0x02,0x00,0x00,0x00,0x1f,0x81,0x7b,0xa5,0xf3,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1a,0x3f,0x50,0x01,0x28,0x00,0x00,0x01,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x05,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 12.10.2024 12:06:57:267
expected tags,0,1,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
12.10.2024 12:06:57:397,34,1,2,0,128612.000000,100525.000000,28732.000000,16.000000,-458.000000,888.000000
12.10.2024 12:06:57:400,35,1,2,0,128609.000000,100527.000000,28734.000000,11.000000,-460.000000,891.000000
12.10.2024 12:06:57:403,36,1,2,0,128611.000000,100528.000000,28733.000000,12.000000,-462.000000,893.000000
12.10.2024 12:06:57:407,37,1,2,0,128601.000000,100529.000000,28730.000000,16.000000,-462.000000,889.000000
12.10.2024 12:06:57:410,38,1,2,0,128596.000000,100528.000000,28732.000000,12.000000,-460.000000,893.000000
12.10.2024 12:06:57:413,39,1,2,0,128593.000000,100528.000000,28731.000000,19.000000,-461.000000,892.000000
12.10.2024 12:06:57:416,40,1,2,0,128590.000000,100528.000000,28731.000000,20.000000,-464.000000,897.000000
12.10.2024 12:06:57:420,41,1,2,0,128582.000000,100526.000000,28732.000000,16.000000,-465.000000,894.000000
12.10.2024 12:06:57:423,42,1,2,0,128586.000000,100530.000000,28729.000000,13.000000,-465.000000,891.000000
12.10.2024 12:06:57:426,43,1,2,0,128581.000000,100531.000000,28730.000000,20.000000,-467.000000,891.000000
12.10.2024 12:06:57:429,44,1,2,0,128583.000000,100528.000000,28731.000000,11.000000,-466.000000,894.000000
12.10.2024 12:06:57:433,45,1,2,0,128576.000000,100532.000000,28731.000000,16.000000,-463.000000,891.000000
12.10.2024 12:06:57:436,46,1,2,0,128575.000000,100532.000000,28727.000000,10.000000,-467.000000,891.000000
12.10.2024 12:06:57:439,47,1,2,0,128568.000000,100529.000000,28729.000000,17.000000,-466.000000,888.000000
12.10.2024 12:06:57:442,48,1,2,0,128565.000000,100528.000000,28731.000000,15.000000,-463.000000,893.000000
12.10.2024 12:06:57:445,49,1,2,0,128567.000000,100529.000000,28727.000000,19.000000,-461.000000,889.000000
12.10.2024 12:06:57:449,50,1,2,0,128562.000000,100529.000000,28726.000000,16.000000,-465.000000,893.000000
12.10.2024 12:06:57:452,51,1,2,0,128567.000000,100535.000000,28730.000000,12.000000,-466.000000,895.000000
12.10.2024 12:06:57:455,52,1,2,0,128556.000000,100531.000000,28731.000000,14.000000,-462.000000,894.000000
12.10.2024 12:06:57:458,53,1,2,0,128565.000000,100536.000000,28731.000000,18.000000,-463.000000,892.000000
12.10.2024 12:06:57:462,54,1,2,0,128559.000000,100537.000000,28730.000000,16.000000,-464.000000,884.000000
12.10.2024 12:06:57:465,55,1,2,0,128557.000000,100534.000000,28730.000000,19.000000,-460.000000,893.000000
12.10.2024 12:06:57:468,56,1,2,0,128555.000000,100534.000000,28730.000000,11.000000,-464.000000,892.000000
12.10.2024 12:06:57:471,57,1,2,0,128559.000000,100534.000000,28730.000000,17.000000,-460.000000,888.000000
12.10.2024 12:06:57:475,58,1,2,0,128555.000000,100536.000000,28730.000000,12.000000,-458.000000,894.000000
12.10.2024 12:06:57:478,59,1,2,0,128558.000000,100537.000000,28730.000000,13.000000,-463.000000,890.000000
12.10.2024 12:06:57:481,60,1,2,0,128549.000000,100539.000000,28730.000000,14.000000,-459.000000,896.000000
12.10.2024 12:06:57:484,61,1,2,0,128551.000000,100535.000000,28728.000000,19.000000,-463.000000,894.000000
12.10.2024 12:06:57:488,62,1,2,0,128548.000000,100537.000000,28728.000000,13.000000,-464.000000,890.000000
12.10.2024 12:06:57:491,63,1,2,0,128551.000000,100537.000000,28730.000000,14.000000,-457.000000,890.000000
12.10.2024 12:06:57:494,64,1,2,0,128543.000000,100537.000000,28734.000000,9.000000,-459.000000,894.000000
12.10.2024 12:06:57:497,65,1,2,0,128548.000000,100535.000000,28730.000000,14.000000,-455.000000,887.000000
12.10.2024 12:06:57:501,66,1,2,0,128549.000000,100540.000000,28735.000000,15.000000,-457.000000,894.000000
