Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
13.10.2024 12:44:26:429,81,0,1,2,28694,58922,5066,17,22,999
13.10.2024 12:44:26:433,82,0,1,2,28686,58917,5066,18,20,1001
13.10.2024 12:44:26:436,83,0,1,2,28691,58917,5066,15,28,998
13.10.2024 12:44:26:439,84,0,1,2,28692,58916,5067,15,22,994
13.10.2024 12:44:26:442,85,0,1,2,28695,58922,5067,17,23,992
13.10.2024 12:44:26:445,86,0,1,2,28689,58906,5065,20,19,1004
13.10.2024 12:44:26:449,87,0,1,2,28692,58926,5068,14,20,987
13.10.2024 12:44:26:452,88,0,1,2,28693,58916,5063,18,23,994
13.10.2024 12:44:26:455,89,0,1,2,28687,58910,5068,14,21,1001
13.10.2024 12:44:26:458,90,0,1,2,28692,58918,5065,14,17,996
13.10.2024 12:44:26:462,91,0,1,2,28687,58914,5066,14,15,999
13.10.2024 12:44:26:465,92,0,1,2,28697,58917,5067,14,19,994
13.10.2024 12:44:26:468,93,0,1,2,28690,58918,5067,19,24,994
13.10.2024 12:44:26:471,94,0,1,2,28690,58917,5066,17,19,996
13.10.2024 12:44:26:475,95,0,1,2,28685,58916,5067,14,24,995
13.10.2024 12:44:26:478,96,0,1,2,28690,58913,5068,17,24,995
13.10.2024 12:44:26:481,97,0,1,2,28685,58912,5067,11,19,1000
13.10.2024 12:44:26:484,98,0,1,2,28688,58912,5066,17,25,998
13.10.2024 12:44:26:488,99,0,1,2,28689,58912,5068,19,23,999
13.10.2024 12:44:26:491,100,0,1,2,28688,58908,5066,21,23,999
13.10.2024 12:44:26:494,101,0,1,2,28687,58908,5066,18,23,999
13.10.2024 12:44:26:497,102,0,1,2,28686,58908,5068,20,25,1000
13.10.2024 12:44:26:501,103,0,1,2,28684,58913,5066,20,25,989
13.10.2024 12:44:26:504,104,0,1,2,28687,58911,5066,19,24,993
13.10.2024 12:44:26:507,105,0,1,2,28693,58912,5068,19,24,993
13.10.2024 12:44:26:510,106,0,1,2,28689,58910,5066,19,23,1000
13.10.2024 12:44:26:514,107,0,1,2,28697,58913,5065,18,26,991
13.10.2024 12:44:26:517,108,0,1,2,28685,58916,5068,25,27,994
13.10.2024 12:44:26:520,109,0,1,2,28694,58912,5067,19,28,992
13.10.2024 12:44:26:523,110,0,1,2,28689,58911,5066,19,28,992
13.10.2024 12:44:26:527,111,0,1,2,28689,58911,5067,22,21,994
13.10.2024 12:44:26:530,112,0,1,2,28686,58911,5066,18,27,994
13.10.2024 12:44:26:533,113,0,1,2,28692,58912,5068,21,24,997
13.10.2024 12:44:26:536,114,0,1,2,28688,58910,5067,21,25,997
13.10.2024 12:44:26:540,115,0,1,2,28688,58909,5067,22,27,995
13.10.2024 12:44:26:543,116,0,1,2,28690,58906,5065,22,19,994
13.10.2024 12:44:26:546,117,0,1,2,28683,58905,5067,18,22,999
