Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 13:24:44:334,79,2,0,1,122128,87915,130563,11,-682,736
05.10.2024 13:24:44:337,80,2,0,1,122133,87921,130552,14,-684,736
05.10.2024 13:24:44:341,81,2,0,1,122123,87922,130559,12,-682,739
05.10.2024 13:24:44:345,82,2,0,1,122130,87920,130556,8,-678,744
05.10.2024 13:24:44:349,83,2,0,1,122126,87925,130554,13,-678,741
05.10.2024 13:24:44:353,84,2,0,1,122124,87939,130553,10,-681,740
05.10.2024 13:24:44:357,85,2,0,1,122123,87940,130547,11,-678,744
05.10.2024 13:24:44:361,86,2,0,1,122128,87933,130550,12,-679,740
05.10.2024 13:24:44:365,87,2,0,1,122123,87952,130551,11,-673,747
05.10.2024 13:24:44:369,88,2,0,1,122122,87958,130545,11,-676,740
05.10.2024 13:24:44:373,89,2,0,1,122123,87948,130547,11,-676,743
05.10.2024 13:24:44:376,90,2,0,1,122121,87966,130548,10,-676,740
05.10.2024 13:24:44:380,91,2,0,1,122126,87969,130541,13,-676,742
05.10.2024 13:24:44:384,92,2,0,1,122120,87978,130547,10,-675,740
05.10.2024 13:24:44:388,93,2,0,1,122118,87979,130545,15,-674,736
05.10.2024 13:24:44:392,94,2,0,1,122123,87979,130540,15,-673,734
05.10.2024 13:24:44:396,95,2,0,1,122121,87982,130539,7,-674,736
05.10.2024 13:24:44:400,96,2,0,1,122121,88005,130541,10,-674,732
05.10.2024 13:24:44:404,97,2,0,1,122122,87992,130542,8,-674,736
05.10.2024 13:24:44:408,98,2,0,1,122123,87996,130545,2,-680,735
05.10.2024 13:24:44:412,99,2,0,1,122122,88002,130546,4,-678,736
05.10.2024 13:24:44:415,100,2,0,1,122125,88013,130543,8,-679,732
05.10.2024 13:24:44:419,101,2,0,1,122127,88020,130543,4,-684,734
05.10.2024 13:24:44:423,102,2,0,1,122129,88021,130542,3,-678,741
05.10.2024 13:24:44:427,103,2,0,1,122129,88038,130542,5,-683,733
05.10.2024 13:24:44:431,104,2,0,1,122131,88038,130550,4,-686,735
05.10.2024 13:24:44:435,105,2,0,1,122128,88040,130546,3,-687,739
05.10.2024 13:24:44:439,106,2,0,1,122131,88044,130543,6,-688,736
05.10.2024 13:24:44:443,107,2,0,1,122130,88062,130552,9,-691,745
05.10.2024 13:24:44:447,108,2,0,1,122128,88052,130551,10,-692,740
05.10.2024 13:24:44:451,109,2,0,1,122129,88053,130551,11,-686,744
05.10.2024 13:24:44:454,110,2,0,1,122135,88068,130545,13,-685,737
05.10.2024 13:24:44:458,111,2,0,1,122132,88075,130547,7,-685,740
05.10.2024 13:24:44:462,112,2,0,1,122129,88079,130548,7,-680,739
05.10.2024 13:24:44:466,113,2,0,1,122132,88080,130548,9,-678,743
05.10.2024 13:24:44:470,114,2,0,1,122126,88077,130543,11,-683,743
05.10.2024 13:24:44:474,115,2,0,1,122127,88089,130551,9,-689,743
05.10.2024 13:24:44:478,116,2,0,1,122126,88089,130542,19,-675,742
05.10.2024 13:24:44:482,117,2,0,1,122125,88097,130541,17,-677,739
05.10.2024 13:24:44:486,118,2,0,1,122121,88102,130542,12,-671,737
05.10.2024 13:24:44:490,119,2,0,1,122122,88105,130537,14,-667,736
05.10.2024 13:24:44:493,120,2,0,1,122121,88114,130537,17,-667,742
05.10.2024 13:24:44:497,121,2,0,1,122122,88111,130538,15,-676,744
05.10.2024 13:24:44:501,122,2,0,1,122128,88113,130533,19,-674,740
05.10.2024 13:24:44:505,123,2,0,1,122120,88120,130537,19,-676,744
05.10.2024 13:24:44:509,124,2,0,1,122128,88125,130531,16,-675,738
05.10.2024 13:24:44:513,125,2,0,1,122126,88126,130524,10,-668,741
05.10.2024 13:24:44:517,126,2,0,1,122121,88124,130517,13,-670,737
05.10.2024 13:24:44:521,127,2,0,1,122119,88120,130514,14,-670,737
05.10.2024 13:24:44:525,128,2,0,1,122119,88119,130508,13,-671,739
05.10.2024 13:24:44:529,129,2,0,1,122116,88129,130495,12,-672,733
05.10.2024 13:24:44:532,130,2,0,1,122116,88121,130499,9,-672,732
05.10.2024 13:24:44:536,131,2,0,1,122119,88117,130490,11,-674,737
05.10.2024 13:24:44:540,132,2,0,1,122111,88114,130480,7,-677,733
05.10.2024 13:24:44:544,133,2,0,1,122117,88109,130472,5,-681,738
05.10.2024 13:24:44:548,134,2,0,1,122109,88102,130468,6,-687,735
05.10.2024 13:24:44:552,135,2,0,1,122114,88085,130463,5,-685,736
05.10.2024 13:24:44:556,136,2,0,1,122110,88081,130449,10,-683,732
05.10.2024 13:24:44:560,137,2,0,1,122107,88078,130452,5,-684,737
05.10.2024 13:24:44:564,138,2,0,1,122109,88057,130443,4,-686,735
05.10.2024 13:24:44:568,139,2,0,1,122106,88045,130443,3,-690,736
05.10.2024 13:24:44:571,140,2,0,1,122106,88037,130432,6,-689,739
05.10.2024 13:24:44:575,141,2,0,1,122106,88031,130427,5,-688,736
05.10.2024 13:24:44:579,142,2,0,1,122097,88017,130423,7,-684,737
05.10.2024 13:24:44:583,143,2,0,1,122097,88003,130418,6,-690,734
05.10.2024 13:24:44:587,144,2,0,1,122097,87993,130418,8,-685,737
05.10.2024 13:24:44:591,145,2,0,1,122100,87985,130412,6,-684,734
05.10.2024 13:24:44:595,146,2,0,1,122091,87976,130413,7,-683,737
05.10.2024 13:24:44:599,147,2,0,1,122094,87967,130406,3,-682,735
05.10.2024 13:24:44:603,148,2,0,1,122094,87938,130401,6,-684,740
05.10.2024 13:24:44:607,149,2,0,1,122086,87948,130398,5,-683,737
05.10.2024 13:24:44:610,150,2,0,1,122092,87929,130395,7,-685,736
05.10.2024 13:24:44:614,151,2,0,1,122085,87921,130396,12,-678,735
05.10.2024 13:24:44:618,152,2,0,1,122082,87915,130391,8,-678,736
05.10.2024 13:24:44:622,153,2,0,1,122082,87909,130386,10,-674,737
05.10.2024 13:24:44:626,154,2,0,1,122074,87907,130385,13,-670,736
