MAX86176reg0x10,MAX86176reg0x11,MAX86176reg0x12,MAX86176reg0x13,MAX86176reg0x14,MAX86176reg0x18,MAX86176reg0x19,MAX86176reg0x1A,MAX86176reg0x1C,MAX86176reg0x1D,MAX86176reg0x1E,MAX86176reg0x20,MAX86176reg0x21,MAX86176reg0x22,MAX86176reg0x23,MAX86176reg0x24,MAX86176reg0x25,MAX86176reg0x26
0,0,MAX86176reg0xFE,MAX86176reg0xFF,KX122reg0x18,KX122reg0x1B,reg0xFF,LIS2DSreg0x20,LIS2DSreg0x20,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
MAX86176reg0x28,MAX86176reg0x29,MAX86176reg0x2a,MAX86176reg0x2b,MAX86176reg0x2c,MAX86176reg0x2d,MAX86176reg0x2e,0,0,MAX86176reg0x30,MAX86176reg0x31,MAX86176reg0x32,MAX86176reg0x33,MAX86176reg0x34,MAX86176reg0x35,MAX86176reg0x36,0,0,
MAX86176reg0x38,MAX86176reg0x39,MAX86176reg0x3a,MAX86176reg0x3b,MAX86176reg0x3c,MAX86176reg0x3d,MAX86176reg0x3e,0,0,MAX86176reg0x40,MAX86176reg0x41,MAX86176reg0x42,MAX86176reg0x43,MAX86176reg0x44,MAX86176reg0x45,MAX86176reg0x46,0,0,
MAX86176reg0x48,MAX86176reg0x49,MAX86176reg0x4a,MAX86176reg0x4b,MAX86176reg0x4c,MAX86176reg0x4d,MAX86176reg0x4e,0,0,MAX86176reg0x50,MAX86176reg0x51,MAX86176reg0x52,MAX86176reg0x53,MAX86176reg0x54,MAX86176reg0x55,MAX86176reg0x56,0,0,
MAX86176reg0x58,MAX86176reg0x59,MAX86176reg0x5a,MAX86176reg0x5b,MAX86176reg0x5c,MAX86176reg0x5d,MAX86176reg0x5e,0,0,MAX86176reg0x60,MAX86176reg0x61,MAX86176reg0x62,MAX86176reg0x63,MAX86176reg0x64,MAX86176reg0x65,MAX86176reg0x66,0,0,
MAX86176reg0x90,MAX86176reg0x91,MAX86176reg0x92,MAX86176reg0x93,MAX86176reg0x94,MAX86176reg0x95,MAX86176reg0x96,MAX86176reg0x97,MAX86176reg0x98,MAX86176reg0x99,MAX86176reg0x9A,MAX86176reg0x9B,MAX86176reg0x9E,MAX86176reg0xA8,MAX86176reg0xA9,0,0,0,
0x02,0x07,0x04,0x00,0x55,0x80,0x9f,0x3f,0x20,0x01,0x48,0x08,0x18,0x3f,0x50,0x08,0x86,0x00,
0x00,0x00,0x42,0x39,0x0b,0x70,0x02,0x00,0x00,0x00,0x1f,0x15,0x93,0x9a,0x13,0x01,0x01,0x92,
0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xcb,0x02,0x1c,0x3f,0x50,0x01,0xe6,0x00,0x02,0x00,
0x02,0x80,0x3f,0x00,0x64,0x82,0x00,0x70,0x80,0x00,0x05,0x01,0x00,0xcf,0x40,0x00,0x00,0x00,
start time, 21.09.2024 13:14:07:763
expected tags,0,0,1,1,2,2,
Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC1_PD2,tagLEDC2_PD1,tagLEDC2_PD2,tagLEDC3_PD1,tagLEDC3_PD2,LED1_PPG1,LED1_PPG2,LED2_PPG1,LED2_PPG2,LED3_PPG1,LED3_PPG2,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
21.09.2024 13:14:08:27,25,0,0,1,11,2,11,196800.000000,193628.000000,432714.000000,524287.000000,466467.000000,524287.000000,486.000000,-278.000000,814.000000
21.09.2024 13:14:08:37,26,0,0,1,11,2,11,196777.000000,193589.000000,432483.000000,524287.000000,466419.000000,524287.000000,485.000000,-277.000000,817.000000
21.09.2024 13:14:08:46,27,0,0,1,11,2,11,196762.000000,193582.000000,432281.000000,524287.000000,466376.000000,524287.000000,492.000000,-271.000000,810.000000
21.09.2024 13:14:08:56,28,0,0,1,11,2,11,196708.000000,193518.000000,432076.000000,524287.000000,466334.000000,524287.000000,489.000000,-270.000000,808.000000
21.09.2024 13:14:08:66,29,0,0,1,11,2,11,196612.000000,193430.000000,431831.000000,524287.000000,466255.000000,524287.000000,490.000000,-275.000000,815.000000
21.09.2024 13:14:08:76,30,0,0,1,11,2,11,196531.000000,193346.000000,431619.000000,524287.000000,466197.000000,524287.000000,486.000000,-273.000000,809.000000
21.09.2024 13:14:08:86,31,0,0,1,11,2,11,196477.000000,193302.000000,431432.000000,524287.000000,466171.000000,524287.000000,488.000000,-268.000000,813.000000
21.09.2024 13:14:08:95,32,0,0,1,11,2,11,196448.000000,193265.000000,431271.000000,524287.000000,466162.000000,524287.000000,493.000000,-275.000000,818.000000
21.09.2024 13:14:08:105,33,0,0,1,11,2,11,196454.000000,193268.000000,431122.000000,524287.000000,466132.000000,524287.000000,488.000000,-275.000000,813.000000
21.09.2024 13:14:08:115,34,0,0,1,11,2,11,196433.000000,193275.000000,430977.000000,524287.000000,466112.000000,524287.000000,491.000000,-272.000000,809.000000
21.09.2024 13:14:08:125,35,0,0,1,11,2,11,196421.000000,193265.000000,430837.000000,524287.000000,466098.000000,524287.000000,488.000000,-270.000000,813.000000
21.09.2024 13:14:08:134,36,0,0,1,11,2,11,196406.000000,193251.000000,430705.000000,524287.000000,466085.000000,524287.000000,489.000000,-271.000000,816.000000
21.09.2024 13:14:08:144,37,0,0,1,11,2,11,196428.000000,193264.000000,430589.000000,524287.000000,466085.000000,524287.000000,488.000000,-269.000000,810.000000
21.09.2024 13:14:08:154,38,0,0,1,11,2,11,196433.000000,193260.000000,430481.000000,524287.000000,466083.000000,524287.000000,485.000000,-265.000000,812.000000
21.09.2024 13:14:08:164,39,0,0,1,11,2,11,196438.000000,193256.000000,430353.000000,524287.000000,466032.000000,524287.000000,484.000000,-273.000000,819.000000
21.09.2024 13:14:08:174,40,0,0,1,11,2,11,196413.000000,193224.000000,430220.000000,524287.000000,466025.000000,524287.000000,483.000000,-276.000000,812.000000
21.09.2024 13:14:08:183,41,0,0,1,11,2,11,196428.000000,193232.000000,430124.000000,524287.000000,466014.000000,524287.000000,489.000000,-273.000000,815.000000
21.09.2024 13:14:08:193,42,0,0,1,11,2,11,196417.000000,193201.000000,430026.000000,524287.000000,465994.000000,524287.000000,488.000000,-269.000000,818.000000
21.09.2024 13:14:08:203,43,0,0,1,11,2,11,196424.000000,193199.000000,429935.000000,524287.000000,465995.000000,524287.000000,495.000000,-266.000000,816.000000
21.09.2024 13:14:08:213,44,0,0,1,11,2,11,196458.000000,193215.000000,429861.000000,524287.000000,466011.000000,524287.000000,488.000000,-271.000000,809.000000
21.09.2024 13:14:08:222,45,0,0,1,11,2,11,196478.000000,193229.000000,429774.000000,524287.000000,465989.000000,524287.000000,495.000000,-273.000000,813.000000
21.09.2024 13:14:08:232,46,0,0,1,11,2,11,196496.000000,193238.000000,429683.000000,524287.000000,465979.000000,524287.000000,486.000000,-270.000000,811.000000
21.09.2024 13:14:08:242,47,0,0,1,11,2,11,196525.000000,193278.000000,429603.000000,524287.000000,465977.000000,524287.000000,488.000000,-264.000000,815.000000
21.09.2024 13:14:08:252,48,0,0,1,11,2,11,196554.000000,193287.000000,429528.000000,524287.000000,465974.000000,524287.000000,490.000000,-274.000000,813.000000
